Date,Open,High,Low,Close,Adj Close,Volume
2018-10-10,34000.000000,34600.000000,33450.000000,33850.000000,28801.972656,1219475
2018-10-11,33400.000000,34100.000000,32700.000000,33100.000000,28163.820313,1268379
2018-10-12,33100.000000,33600.000000,32600.000000,33250.000000,28291.449219,1123867
2018-10-15,32700.000000,32700.000000,30700.000000,31100.000000,26462.076172,2038170
2018-10-16,31000.000000,31450.000000,30700.000000,31300.000000,26632.250000,936512
2018-10-17,31600.000000,31600.000000,30750.000000,30800.000000,26206.816406,972510
2018-10-18,30700.000000,30850.000000,29400.000000,29700.000000,25270.857422,2081735
2018-10-19,29500.000000,30000.000000,29150.000000,29400.000000,25015.597656,1299726
2018-10-22,29400.000000,29650.000000,29050.000000,29450.000000,25058.140625,776169
2018-10-23,29250.000000,29400.000000,28150.000000,28350.000000,24122.183594,1294400
2018-10-24,28650.000000,28900.000000,28400.000000,28700.000000,24419.988281,1308484
2018-10-25,28250.000000,28500.000000,26200.000000,27000.000000,22973.507813,2557751
2018-10-26,27100.000000,28250.000000,26950.000000,27850.000000,23696.750000,2398627
2018-10-29,28100.000000,28650.000000,27900.000000,28000.000000,23824.378906,1625566
2018-10-30,28000.000000,28650.000000,27900.000000,27900.000000,23739.292969,930916
2018-10-31,27550.000000,28400.000000,27100.000000,28400.000000,24164.724609,1307731
2018-11-01,28300.000000,28900.000000,28000.000000,28700.000000,24419.988281,880304
2018-11-02,28950.000000,29600.000000,28800.000000,29550.000000,25143.228516,1172517
2018-11-05,29100.000000,29300.000000,27900.000000,28300.000000,24079.638672,1176599
2018-11-06,28400.000000,29150.000000,27950.000000,28950.000000,24632.705078,731872
2018-11-07,28850.000000,28900.000000,28350.000000,28550.000000,24292.357422,854207
2018-11-08,29000.000000,29250.000000,28500.000000,28500.000000,24249.814453,876378
2018-11-09,28450.000000,29400.000000,28450.000000,28850.000000,24547.617188,653655
2018-11-12,28900.000000,29150.000000,28100.000000,28250.000000,24037.095703,624865
2018-11-13,28200.000000,28300.000000,27700.000000,28300.000000,24079.638672,717446
2018-11-14,28200.000000,28950.000000,28200.000000,28950.000000,24632.705078,685812
2018-11-15,28900.000000,29950.000000,28550.000000,29950.000000,25483.574219,1061670
2018-11-16,29850.000000,29850.000000,29300.000000,29500.000000,25100.685547,692812
2018-11-19,29050.000000,30050.000000,29050.000000,29700.000000,25270.857422,599776
2018-11-20,29850.000000,29900.000000,28050.000000,28300.000000,24079.638672,1109399
2018-11-21,28050.000000,29050.000000,27750.000000,28950.000000,24632.705078,801321
2018-11-22,28850.000000,28900.000000,27100.000000,27500.000000,23398.943359,1219813
2018-11-23,27500.000000,27750.000000,27300.000000,27750.000000,23611.660156,483649
2018-11-26,27900.000000,28800.000000,27800.000000,28700.000000,24419.988281,881362
2018-11-27,28700.000000,29650.000000,28550.000000,29450.000000,25058.140625,814625
2018-11-28,29450.000000,29850.000000,29050.000000,29850.000000,25398.490234,785499
2018-11-29,29900.000000,30150.000000,29200.000000,29450.000000,25058.140625,827440
2018-11-30,29750.000000,30750.000000,29750.000000,30500.000000,25951.556641,1443231
2018-12-03,30900.000000,31000.000000,30200.000000,30400.000000,25866.468750,539413
2018-12-04,30350.000000,30750.000000,29600.000000,30450.000000,25909.009766,724594
2018-12-05,30200.000000,30650.000000,30000.000000,30600.000000,26036.642578,408467
2018-12-06,30800.000000,31050.000000,30500.000000,30950.000000,26334.447266,852936
2018-12-07,31000.000000,31100.000000,30350.000000,30950.000000,26334.447266,657527
2018-12-10,30200.000000,31000.000000,30150.000000,31000.000000,26376.990234,488820
2018-12-11,30700.000000,31450.000000,30450.000000,31400.000000,26717.339844,596697
2018-12-12,31500.000000,32900.000000,31450.000000,32350.000000,27525.666016,1680688
2018-12-13,32400.000000,33450.000000,32050.000000,33450.000000,28461.623047,1756038
2018-12-14,33450.000000,33650.000000,32450.000000,32500.000000,27653.296875,1019205
2018-12-17,32550.000000,33300.000000,31900.000000,33100.000000,28163.820313,876455
2018-12-18,33450.000000,33750.000000,32350.000000,33700.000000,28674.339844,928951
2018-12-19,33750.000000,34100.000000,33550.000000,33800.000000,28759.425781,755284
2018-12-20,33400.000000,34200.000000,32950.000000,33800.000000,28759.425781,780680
2018-12-21,33950.000000,34000.000000,33450.000000,33850.000000,28801.972656,918578
2018-12-24,33850.000000,34000.000000,33200.000000,33500.000000,28504.167969,727995
2018-12-26,33100.000000,33800.000000,32650.000000,33400.000000,28419.080078,1153454
